time,dx_obs,dy_obs,dz_obs
0.01,0.0,0.0,-0.47790431970249975
0.02,0.0,0.0,-0.5222491273107183
0.03,0.0,0.0,-0.5647950261249429
0.04,0.0,0.0,-0.6032464518038206
0.05,0.0,0.0,-0.6409402541840533
0.06,0.0,0.0,-0.6781208115977267
0.07,0.0,0.0,-0.7148217666057088
0.08,0.0,0.0,-0.7513025651749555
0.09,0.0,0.0,-0.7853656904704288
0.1,0.0,0.0,-0.8197801647934223
0.11,0.0,0.0,-0.8484558643451017
0.12,0.0,0.0,-0.8783616168595202
0.13,0.0,0.0,-0.9095056715211122
0.14,0.0,0.0,-0.9418009219570539
0.15,0.0,0.0,-0.96499642084567
0.16,0.0,0.0,-0.9907128309963669
0.17,0.0,0.0,-1.018681529215001
0.18,0.0,0.0,-1.0486845874208428
0.19,0.0,0.0,-1.0802830384642044
0.2,0.0,0.0,-1.0861293520899589
0.21,0.0,0.0,-1.0999719248280113
0.22,0.0,0.0,-1.11904581980811
0.23,0.0,0.0,-1.141971268665638
0.24,0.0,0.0,-1.1023502033789372
0.25,0.0,0.0,-1.0729918842884199
0.26,0.0,0.0,-1.0546497818302087
0.27,0.0,0.0,-1.0492314461212684
0.28,0.0,0.0,-1.0604564064204747
0.29,0.0,0.0,-1.0221097120280052
0.3,0.0,0.0,-0.9944739920735761
0.31,0.0,0.0,-0.9447663019434566
0.32,0.0,0.0,-0.9058467735559139
0.33,0.0,0.0,-0.8778884805272629
0.34,0.0,0.0,-0.8614047460423585
0.35,0.0,0.0,-0.8218101761385602
0.36,0.0,0.0,-0.7929623529639606
0.37,0.0,0.0,-0.7752939186985174
0.38,0.0,0.0,-0.7706474378748588
0.39,0.0,0.0,-0.7817102246401736
0.4,0.0,0.0,-0.739904089236473
0.41,0.0,0.0,-0.7079630374076722
0.42,0.0,0.0,-0.6859864853756158
0.43,0.0,0.0,-0.6743714803358435
0.44,0.0,0.0,-0.6154167221855249
0.45,0.0,0.0,-0.5661924542698578
0.46,0.0,0.0,-0.5264986464466876
0.47,0.0,0.0,-0.49617087839427504
0.48,0.0,0.0,-0.4752361062397475
0.49,0.0,0.0,-0.43293092443255066
0.5,0.0,0.0,-0.39972873794952424
0.51,0.0,0.0,-0.3582090990457702
0.52,0.0,0.0,-0.32560011096178576
0.53,0.0,0.0,-0.3018305784753321
0.54,0.0,0.0,-0.2869630509579442
0.55,0.0,0.0,-0.26487077835904305
0.56,0.0,0.0,-0.2514089997358186
0.57,0.0,0.0,-0.24742740528848386
0.58,0.0,0.0,-0.2550052466564801
0.59,0.0,0.0,-0.2437013491923042
0.6,0.0,0.0,-0.2408902608241874
0.61,0.0,0.0,-0.2473955510615466
0.62,0.0,0.0,-0.25693375806643415
0.63,0.0,0.0,-0.2681541873979153
0.64,0.0,0.0,-0.2781252419198532
0.65,0.0,0.0,-0.28869939481175394
0.66,0.0,0.0,-0.29922820716222603
0.67,0.0,0.0,-0.30936715842580614
0.68,0.0,0.0,-0.3263697584134558
0.69,0.0,0.0,-0.34139876300888794
0.7,0.0,0.0,-0.35432064964644755
0.71,0.0,0.0,-0.3773778809277891
0.72,0.0,0.0,-0.3970476362917796
0.73,0.0,0.0,-0.41321755025091333
0.74,0.0,0.0,-0.4259733051300574
0.75,0.0,0.0,-0.4492720349195763
0.76,0.0,0.0,-0.46824425603261
0.77,0.0,0.0,-0.48282325994810166
0.78,0.0,0.0,-0.49327258696352067
0.79,0.0,0.0,-0.4996507786048151
0.8,0.0,0.0,-0.5274721241582893
0.81,0.0,0.0,-0.5502414611841551
0.82,0.0,0.0,-0.5680567603865949
0.83,0.0,0.0,-0.5810936171194375
0.84,0.0,0.0,-0.6104645838411156
0.85,0.0,0.0,-0.634455678355676
0.86,0.0,0.0,-0.6531808482492344
0.87,0.0,0.0,-0.6669528464968765
0.88,0.0,0.0,-0.7170827449413004
0.89,0.0,0.0,-0.760760619308465
0.9,0.0,0.0,-0.798164662829727
0.91,0.0,0.0,-0.8296062152451975
0.92,0.0,0.0,-0.8553861967198271
0.93,0.0,0.0,-0.8954431567211582
0.94,0.0,0.0,-0.9444787422526154
0.95,0.0,0.0,-0.9871095008864741
0.96,0.0,0.0,-1.0236299288068529
0.97,0.0,0.0,-1.0544105224442613
0.98,0.0,0.0,-1.101599677655166
0.99,0.0,0.0,-1.1427570611441624
1.0,0.0,0.0,-1.1782165990294537
1.01,0.0,0.0,-1.2083778107108702
1.02,0.0,0.0,-1.2336995886635458
1.03,0.0,0.0,-1.2753068714127154
1.04,0.0,0.0,-1.3116680985977165
1.05,0.0,0.0,-1.343202676318179
1.06,0.0,0.0,-1.3703147458084786
1.07,0.0,0.0,-1.3934890880014423
1.08,0.0,0.0,-1.437068420031678
1.09,0.0,0.0,-1.4759124040377496
1.1,0.0,0.0,-1.510403782953952
1.11,0.0,0.0,-1.54091813675119
1.12,0.0,0.0,-1.57834815605618
1.13,0.0,0.0,-1.6118005553462431
1.14,0.0,0.0,-1.6452994904408618
1.15,0.0,0.0,-1.6752738475542837
1.16,0.0,0.0,-1.7020953944790669
1.17,0.0,0.0,-1.7261495959461715
1.18,0.0,0.0,-1.7522408438976664
1.19,0.0,0.0,-1.7758954794119919
1.2,0.0,0.0,-1.7974981219885815
1.21,0.0,0.0,-1.8173725787313424
1.22,0.0,0.0,-1.835849888211865
1.23,0.0,0.0,-1.8531931925102707
1.24,0.0,0.0,-1.869746989052763
